"","MMRF","Gamer1","Gamer2","Gamer3"
"",1,0,0,0
"MTUS2-AS1",1,1,0,0
"CRYL1",1,0,0,0
"CAB39L",1,0,0,0
"FNDC3A",1,1,0,0
"ERICH6B",1,0,0,0
"RPL13AP25",1,0,0,0
"COLEC12",1,0,0,0
"SPRY2",1,0,0,0
"UFM1",1,1,0,0
"KLF5",1,0,0,0
"CBY2",1,0,0,0
"LINC01543",1,0,0,0
"FOXO1",1,0,0,1
"COG3",1,0,0,0
"RPL7AP66",1,0,0,0
"UBL3",1,1,0,0
"FLT3",1,1,0,0
"BACH1",1,1,0,0
"ITM2B",1,1,0,1
"PPP1R26P1",1,0,0,0
"TRIM13",1,0,0,0
"ETS2",1,0,0,0
"KCNRG",1,0,0,0
"ZAR1L",1,0,0,0
"N4BP2L1",1,0,0,0
"EVA1C",1,0,0,0
"SAMSN1",1,0,0,0
"GPR183",1,0,1,0
"SNORA31",1,0,0,0
"RCN1P2",1,0,0,0
"SPART",1,0,0,0
"RCBTB2",1,0,0,0
"RAB20",1,0,0,0
"RIPOR3",1,0,1,0
"RPS2P7",1,0,0,0
"NAA16",1,0,0,0
"RGCC",1,1,0,0
"LPAR6",1,0,0,0
"KRR1P1",1,0,0,0
"LATS2",1,0,0,0
"SLC17A9",1,0,0,0
"RPL17-C18orf32",1,0,0,0
"FBXL3",1,1,0,0
"MYCBP2-AS1",1,0,1,0
"CBX7",1,0,0,0
"SLC25A6",1,0,1,0
"CYSLTR2",1,0,0,0
"PHACTR3",1,0,0,0
"SYS1-DBNDD2",1,0,0,0
"STX16-NPEPL1",1,0,0,0
"DHRS7",1,1,0,0
"SYNGR1",1,0,0,0
"KLF6",1,0,0,0
"GRTP1",1,0,0,1
"ITIH5",1,0,1,0
"PLEKHD1",1,0,0,0
"MRC1",1,0,0,0
"LTBP2",1,0,1,0
"MRPS31P2",1,1,0,0
"MPHOSPH8",1,0,0,0
"DHRS12",1,0,0,0
"SLC46A3",1,1,0,0
"CHST7",1,0,0,0
"FNDC11",1,0,0,0
"RPL21P11",1,0,0,0
"SRSF5",1,1,0,0
"PROCR",1,0,0,0
"CAP2P1",1,0,0,0
"ZNF532",1,0,0,0
"UPB1",1,0,0,0
"ITGA8",1,1,0,0
"MYL9",1,0,1,0
"TGIF2-RAB5IF",1,0,0,0
"ZFAND4",1,0,0,0
"VSIG4",1,0,0,0
"SLC9A7",1,0,0,0
"TAFA5",1,0,0,0
"RPS15AP1",1,0,0,0
"PCBP3",1,0,0,0
"LINC01055",1,1,0,0
"DOCK9-DT",1,1,0,0
"NRP1",1,1,0,0
"NFATC1",1,0,0,0
"SLC16A2",1,0,1,0
"B3GLCT",1,0,0,0
"MBNL2",1,1,0,0
"MARCHF8",1,0,0,0
"DKK1",1,0,0,0
"DGCR6",1,0,0,0
"PROZ",1,0,0,0
"FTCD",1,0,0,0
"COL6A1",1,0,1,0
