"","MMRF","Gamer1","Gamer2","Gamer3"
"",1,0,0,0
"URB1",1,1,0,0
"RFC3",1,0,0,0
"POU4F1",1,0,0,0
"SNX18P12",1,0,0,0
"SPATA13",1,0,0,0
"CELF4",1,0,0,0
"DIAPH3",1,1,1,0
"SLC14A2",1,0,0,0
"SKA1",1,1,1,1
"MYO16",1,0,0,0
"TPGS2",1,0,0,0
"DHFRP1",1,0,0,0
"KCNJ15",1,0,0,0
"N6AMT1",1,0,0,0
"TEX30",1,0,0,0
"FAM110A",1,0,0,0
"BIVM",1,0,0,0
"DGKH",1,0,0,0
"TMEM241",1,0,0,0
"RRP1B",1,1,0,0
"PIGN",1,0,0,0
"TOX2",1,0,0,0
"FAM83D",1,0,0,0
"RAP2A",1,0,0,0
"GJB2",1,0,0,0
"CNDP2",1,0,0,0
"FRY",1,0,0,0
"SLC19A1",1,1,0,0
"CDH4",1,0,0,0
"ADAMTS1",1,0,0,0
"MIS18A",1,1,0,0
"WDR4",1,0,0,0
"PRKX",1,1,0,0
"CKAP2",1,0,0,0
"RBL1",1,0,0,0
"PSMG1",1,1,0,0
"GTSE1",1,1,1,1
"SKA3",1,1,1,0
"MYBL2",1,1,0,1
"TFDP1",1,0,0,0
"ACBD7",1,0,0,0
"SCML2",1,0,0,0
"SSTR3",1,0,0,0
"ARHGAP28",1,0,0,1
"CLCN5",1,0,0,0
"HSF2BP",1,0,0,0
"CFAP47",1,0,1,0
"GGT1",1,0,0,0
"SOCS6",1,0,0,0
"SNRPD1",1,0,0,0
"SLA2",1,0,0,0
"ABHD3",1,0,0,0
"TPX2",1,1,1,1
"PRTFDC1",1,0,0,0
"FAM210A",1,0,0,0
"PTPN21",1,0,0,0
"MGME1",1,1,0,0
"PSMA8",1,0,0,0
"CEP128",1,0,0,0
"ARMH4",1,0,0,0
"SLC4A11",1,0,0,0
"CNTLN",1,1,0,1
"CCDC102B",1,0,0,0
"E2F1",1,1,0,1
"PCNA",1,1,1,1
"APOBEC3B",1,0,1,1
"BDKRB1",1,0,0,0
"CDCA4",1,1,0,0
"UMODL1",1,1,0,0
"ZWINT",1,1,1,0
"TRPM2",1,1,0,0
"LDB2",1,0,0,0
"XK",1,0,0,0
"RASEF",1,0,0,0
"C21orf58",1,1,0,0
"GART",1,1,0,0
"SPIN4",1,0,1,0
"DONSON",1,1,0,1
"ITM2A",1,0,0,0
"TIMM21",1,1,0,0
"MAGEC2",1,0,0,0
"EFCAB11",1,0,0,0
"SLC25A15",1,1,0,0
"UBE2C",1,1,1,1
"CSE1L",1,1,1,0
"IGF2BP3",1,0,0,0
"ARHGAP19",1,1,0,0
"CDCA7L",1,1,0,0
"PRELID3A",1,0,0,0
"TCFL5",1,1,0,0
"PDCD11",1,1,0,0
"THNSL1",1,1,0,0
"HMGN5",1,0,0,0
"ADCY1",1,0,0,0
"NETO2",1,0,0,0
"CLEC7A",1,0,0,0
"MAP7D3",1,0,0,0
"RBFA",1,1,0,0
"RBFADN",1,0,0,0
"SULT1B1",1,0,0,0
"CDH9",1,0,0,0
"VBP1",1,1,0,0
"CDC45",1,1,1,0
"LRRC75A",1,0,0,0
"BCAT1",1,0,0,0
"CCT6A",1,1,0,0
"NDC80",1,1,1,1
"SMC2",1,1,1,1
"SHROOM3",1,0,0,0
"MGST1",1,1,0,0
"PSPH",1,0,0,0
"NAP1L3",1,0,0,0
"NR6A1",1,0,0,0
