"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",94.7323923198214,-0.446309902771547,0.788805317979702,-0.56580488569048,0.571526424861835,0.806155684007601
"A1BG-AS1",71.0196912795348,0.388909829632164,0.708931491433457,0.548585913211147,0.583289655271073,0.813453590872854
"A2M",302.912894948141,-1.09653588009592,0.603401562218488,-1.81725727733345,0.0691777283458382,0.285257720508292
"A2M-AS1",26.4131833032092,-0.333218394320569,0.755897739766518,-0.440824699943532,0.659339910513086,0.857108093643045
"AAAS",867.700578315071,0.294690124906472,0.237108294066236,1.24285034425726,0.2139229866662,0.509519048009616
"AACS",536.465932845357,0.145237884507682,0.203722854174308,0.712918955982303,0.475895908488357,0.747674742718436
"AAGAB",909.140255007421,0.335548424369803,0.209137494916217,1.60443934027338,0.108617245291942,0.364300681413623
"AAK1",2964.15532194204,0.466326737241549,0.299473228569366,1.55715667630549,0.119433291536999,0.381344636671634
"AAMDC",55.3057357465859,0.310530732716315,0.509764658969119,0.609164890607152,0.542415149411486,0.78998099927266
"AAMP",880.785636307362,0.342603187578319,0.162806454839013,2.10435874865708,0.0353471649341107,0.196010075131189
"AAR2",821.580862649555,0.0371623494817763,0.211406060141072,0.175786585573648,0.860461608690477,0.943690940327864
"AARS",5299.47243682315,0.562598479626108,0.289556389826115,1.94296689485582,0.0520201583587875,0.244227903706672
"AARS2",454.026682164362,0.51206894202422,0.24110495503598,2.1238424649871,0.0336833187656755,0.19122533612319
"AARSD1",270.146574400807,0.31471200264418,0.269413300236832,1.16813833009554,0.242750971316648,0.544228061451819
"AASDH",278.164933792512,0.317770123252893,0.21691481210172,1.4649535463898,0.142933592156296,0.416122128599309
"AASDHPPT",1908.32400987046,0.226324850145916,0.260805738772405,0.867790912927039,0.385508805549803,0.679658605214281
"AASS",530.138391973707,0.868194384131081,0.334006069639599,2.59933714698025,0.00934039859619614,0.0917301534701652
"AATF",1190.79698112466,0.396879766853716,0.15092452598168,2.62965720297768,0.0085471004663336,0.0865235552338765
"ABALON",24.1399410152383,-0.655220113186949,0.572024329674108,-1.14544098772903,0.252026527656721,0.554589543322932
"ABAT",171.871189687699,-0.0149402284274482,0.419313011599658,-0.0356302523750742,0.971577185723917,0.989311142737273
"ABCA1",1146.36181741164,-0.343470411361603,0.514060788746011,-0.668151352682351,0.504036984752062,0.766633604699128
"ABCA10",162.535009193874,-0.969351461846013,0.3619575880682,-2.6780802331553,0.00740454790592483,0.0787654800258537
"ABCA11P",29.5549203555855,-0.0429931140713014,0.540748458282146,-0.0795066789610131,0.936629619389814,0.975699355933443
