"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A2M-AS1",8.96714448900831,-2.46550632972437,0.602760985460694,-4.09035486568522,4.30713668663878e-05,0.0022188464772387
"ABALON",313.269305487622,-4.02753864650528,0.957169587814116,-4.20775868537879,2.57916074597953e-05,0.00157389389817577
"ABCA8",80.555372990548,-2.96762481626777,0.763112981614058,-3.88884069301371,0.000100724203262001,0.00382847088577976
"ABI3BP",688.022775608644,-2.3552562889389,0.63170850976654,-3.72839094697225,0.000192706267003889,0.00599036489823201
"AC001226.2",538.327940960075,-5.24490655436805,1.10697140338323,-4.73806869656982,2.1576467446091e-06,0.000332515305514546
"AC003681.1",564.713892683028,-6.8031629766993,1.13750323278132,-5.98078561945253,2.22063976310114e-09,4.03823340919943e-06
"AC005523.2",601.498257450665,-6.1230965036183,1.10377920528316,-5.54739251682811,2.89961298660335e-08,2.02805623697623e-05
"AC005540.1",448.034734429608,-4.10126061730934,0.906067704260817,-4.52643946806956,5.99857709220273e-06,0.000616294488258229
"AC005785.1",234.299142813199,-4.4376076664356,1.05113846852649,-4.22171559628707,2.42449901056704e-05,0.0015170945615695
"AC006064.4",170.030423988958,-3.93602238930268,0.981812005743656,-4.00893691081055,6.09927073482835e-05,0.00282722027125801
"AC007285.1",519.676211969855,-3.97670126770312,0.935383138910999,-4.25141431599132,2.12424779887644e-05,0.00139645468154524
"AC008622.2",505.496843422048,-4.77650468953113,1.04211096215602,-4.58348953517295,4.57279779729667e-06,0.000498704286384612
"AC008894.2",335.449349410089,-4.42167531670312,1.02745869093641,-4.30350665745332,1.68115793880041e-05,0.00119421316863615
"AC009133.1",751.098236810491,-4.47122044241642,0.971218888283335,-4.60372064048246,4.1500907340095e-06,0.000465860493814585
"AC009133.2",266.799337390798,-4.17851379533125,1.06854882494615,-3.91045659101428,9.21218156234995e-05,0.00359492535861231
"AC011446.2",310.928258076044,-4.34711213101069,1.07344532472665,-4.0496819268533,5.12872938668482e-05,0.00252070118640171
"AC011603.2",431.883811029425,-4.44184289403383,1.0723749264751,-4.14206149768364,3.441980161376e-05,0.00188311165188815
"AC015813.5",327.053890922715,-5.01613394138644,1.10332017694236,-4.54639917425211,5.45714935722685e-06,0.000574561627557395
"AC018362.1",285.163842189663,-4.79546151460212,1.15634512736299,-4.14708498451326,3.36735097065281e-05,0.00186692918906468
"AC020978.5",402.531043139945,-5.75998284610103,1.2069714754624,-4.77226095496114,1.82169259857013e-06,0.000301158908227253
"AC021092.1",401.774979685571,-4.51502147475207,1.11799634185253,-4.0384939607858,5.37954781533048e-05,0.00258858041894396
"AC022400.8",471.972572247483,-4.2195378261837,1.00086643264096,-4.21588504576951,2.48800481158883e-05,0.00153892406458309
"AC024293.1",143.077124939084,-1.02181981223504,0.250952705743499,-4.07176248292555,4.66587442832256e-05,0.00234389299665872
"AC025164.1",604.441190234274,-4.03013399634764,0.90367504543995,-4.4597159307255,8.206835389862e-06,0.000762864938388732
"AC026202.3",278.086172845793,-4.35485500541697,0.995525750104979,-4.37442728624322,1.2175169664882e-05,0.000950238027278453
"AC067930.6",318.462789125062,-5.84883292796895,1.10796210422458,-5.27891062850236,1.29954165320052e-07,5.62670594367892e-05
"AC083798.2",547.372193089405,-2.97063819811592,0.745652358370451,-3.98394528598816,6.77804846640907e-05,0.00297940001334402
"AC092053.3",275.779983691158,-3.2743448486797,0.840683656242381,-3.89485964710566,9.82556064115517e-05,0.00377781799794882
"AC093484.3",463.964507174265,-4.63324242065141,0.98236374246476,-4.71642246183329,2.40027781551143e-06,0.000333819039875984
"AC106886.4",382.270381568961,-6.31529393040903,1.23583789531188,-5.11013131606172,3.21934970162552e-07,0.000100937714351828
"AC109587.1",363.224025451421,-6.11263719911136,1.19500548866218,-5.1151540784591,3.13484956852794e-07,0.000100012700708212
"AC112491.1",504.31917983233,-3.05621301733253,0.801174921589115,-3.81466385801316,0.000136368428245573,0.00470890946130543
"AC130304.1",546.364728664672,-5.9582660933864,1.19709615429795,-4.97726608843771,6.448864154262e-07,0.000165191817585623
"AC135457.1",423.703411301147,-6.01746869415652,1.21983730402215,-4.93300924173677,8.09723223435683e-07,0.000196330890909039
"AC138028.4",222.368956010184,-4.81835000539757,1.15428032611112,-4.17433260916006,2.98860862924319e-05,0.0017423446172745
"AC139495.3",209.057199213666,-3.26627386341232,0.775459601362345,-4.21204903217918,2.53064592894057e-05,0.00154948808814089
"AC145207.2",616.698689556418,-5.67959416140305,1.17535628504739,-4.83223192291352,1.3501084307975e-06,0.000256413006745701
"ACSBG1",323.074373254976,-4.43562166305465,1.04573815092392,-4.2416179032349,2.21914260365557e-05,0.00142597555644793
"AD000090.1",97438.1966140771,-10.8566994665661,1.41400891581384,-7.67795686798585,1.61645894448864e-14,1.4697652952763e-10
"ADAMTS7",11.9222420412581,-2.82958173983355,0.734156055525202,-3.85419655472203,0.000116110290249611,0.00427422191941128
"ADAMTS9",78.7782769045907,-2.7223035325198,0.660659357639988,-4.1205857467068,3.77910384031515e-05,0.00201533734123551
"ADGRA2",195.343520788583,-2.69138578357103,0.74791288659899,-3.59852842730075,0.000320022874770263,0.00852066761009844
"ADGRG6",449.769634630568,-4.14242921048542,0.856567655663597,-4.83607941894118,1.32425030149156e-06,0.000256413006745701
"ADM",1554.35634251562,-2.27383664291944,0.59550285318047,-3.81834718469493,0.000134348765113868,0.00467108705690478
"AEBP1",677.66734206672,-3.53904952684874,0.647858847470518,-5.46268610927598,4.68983436242704e-08,2.9768285733659e-05
"AF127936.2",304.888772860117,-2.75940764940168,0.55529948598548,-4.9692242097156,6.72213060287935e-07,0.000165191817585623
"AFAP1L2",12.0013532699493,-3.70058812260538,0.664461583002145,-5.56930335368002,2.55759860808762e-08,1.86039722752293e-05
"AFF2",2468.30380703215,-3.1758926561227,0.777467112466512,-4.08492218538633,4.40915901490764e-05,0.00225860723059424
