"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABCB7",581.648139366911,0.915904595569386,0.171635332967109,5.33634059919877,9.48411723321934e-08,7.87228458174973e-05
"AC022031.2",46.359022162219,2.52758901663083,0.593103194615978,4.26163446694532,2.02937187074253e-05,0.00213912420271795
"ACAT2",365.28670176274,1.15417633631193,0.311609865517261,3.70391461899334,0.000212297738575725,0.00851808175638112
"ACLY",3291.88675706297,0.699123265070097,0.17327071100278,4.03486117777216,5.46345897770213e-05,0.00399214722666992
"ADAMTS15",270.725493884804,3.95155288796501,0.975263617343264,4.05177924993195,5.08296118362578e-05,0.00383273759851197
"AK8",17.1200680739861,3.40866594150213,0.80175717280722,4.25149416445786,2.12349044303672e-05,0.00220495300038362
"ANAPC1",2308.01191867972,0.689469932881247,0.185562828621555,3.71556058938606,0.000202753671323193,0.00826220142802789
"ANLN",424.446610915325,1.71423019454604,0.455121649750732,3.76653186128349,0.000165530967902327,0.00729443761258205
"AP005328.1",18.8924421201231,4.03844203386398,0.67386141814309,5.99298598366473,2.06022614800501e-09,8.11380071573868e-06
"AP3D1",6109.26044787891,0.550455917343316,0.143045391259437,3.84812060351508,0.000119027456128136,0.00608683325910595
"APEX2",309.386199720739,1.08640624810293,0.289274631607521,3.75562226824276,0.00017291131943397,0.00748428415752899
"APOBEC3B",438.42711897928,2.28430699939894,0.485380842826789,4.70621581621446,2.52357360170928e-06,0.000589586485157236
"APOBEC3C",4467.23404958324,0.962414388063923,0.257685579474802,3.73483991624776,0.00018783463120006,0.00789201161250012
"APOBEC3G",1452.68214649996,1.57702947071859,0.31903411835314,4.94313736367522,7.6875277303851e-07,0.00030333276084604
"ARHGAP11A",659.310656166686,1.56452110309665,0.388810117676797,4.02386931812608,5.72496926616162e-05,0.00409126604113228
"ARHGAP28",92.1957963485932,2.44685568340261,0.62000355406543,3.9465188019622,7.92956975241098e-05,0.0048534460171149
"ARPC2",5948.13650772194,0.670967848505575,0.176237611503176,3.80717738275455,0.00014056192784952,0.00654496944381049
"ASPM",1803.07815386568,1.8989852067225,0.483350814251708,3.92879281617098,8.53733521558493e-05,0.0050029347883804
"ATAD2",1126.68778893321,1.69459548861442,0.358090576503684,4.73230964400146,2.21979442822947e-06,0.000555136195318908
