,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Significant
ENSG00000134594,96.58130513,1.303362968,0.306267947,4.255629684,2.08461492188931e-05,0.000100005,No
ENSG00000196419,9706.102085,0.204711961,0.04811178,4.254923827,2.0912019476029e-05,0.000100297,No
ENSG00000037474,4309.106008,0.204917956,0.048180789,4.253105008,2.10826651814722e-05,0.000101092,No
ENSG00000153944,9058.083111,-0.32431923,0.07625977,-4.252822047,2.11093321184741e-05,0.000101195,No
ENSG00000225450,32.92369944,-0.567309163,0.133427216,-4.251824924,2.12035595250169e-05,0.000101623,No
ENSG00000012223,1301.35842,-1.372622553,0.322841528,-4.251691417,2.12162062110033e-05,0.00010166,No
ENSG00000215559,382.2970969,-0.953115977,0.224199115,-4.251203114,2.12625227058088e-05,0.000101857,No
ENSG00000121749,3205.096459,-0.415603091,0.097765613,-4.251015043,2.12803873140783e-05,0.000101919,No
ENSG00000137857,80.49214945,0.77782411,0.183027217,4.249772922,2.13987337514126e-05,0.000102461,No
ENSG00000254505,1763.998784,0.260782991,0.061366174,4.249621135,2.14132385078672e-05,0.000102506,No
ENSG00000136531,428.815991,0.743801763,0.17512949,4.247153134,2.16503986474494e-05,0.000103617,No
ENSG00000229598,79.8850259,-0.691455046,0.162807443,-4.247072703,2.16581694684501e-05,0.00010363,No
ENSG00000273972,17.65557982,-0.654710721,0.154158521,-4.246996652,2.16655195721361e-05,0.00010364,No
ENSG00000118181,52977.07923,-0.412162154,0.097086315,-4.245316707,2.18284884634441e-05,0.00010437,No
ENSG00000158985,9545.299447,-0.332706745,0.078370042,-4.245330693,2.18271268464146e-05,0.00010437,No
ENSG00000287250,7.619561138,0.646214782,0.152257462,4.244224057,2.19351102367028e-05,0.000104855,No
ENSG00000143110,242.8585922,-0.762234077,0.179596464,-4.244148575,2.19424941427844e-05,0.000104866,No
ENSG00000162813,1337.350954,0.413463433,0.097422513,4.244023491,2.19547354079758e-05,0.000104899,No
ENSG00000251629,48.9254434,1.183370998,0.278840036,4.243906343,2.19662060256865e-05,0.000104929,No
ENSG00000171488,2458.426437,-0.470240284,0.11081613,-4.243428134,2.20130890232235e-05,0.000105129,No
ENSG00000271992,10.95398916,0.63475787,0.149627329,4.242258914,2.21281193858666e-05,0.000105653,No
ENSG00000225331,51.43998685,-0.583359034,0.137513449,-4.242196224,2.21343031426742e-05,0.000105657,No
ENSG00000114354,6346.345649,-0.221333494,0.05218261,-4.241518302,2.22012781743256e-05,0.000105952,No
ENSG00000229862,7.470067298,-0.623161479,0.14693732,-4.241002088,2.22524066351725e-05,0.000106171,No
ENSG00000272072,98.82492809,-0.426149808,0.100485358,-4.240914477,2.22610951728621e-05,0.000106187,No
ENSG00000136149,52.87330001,-0.530853424,0.125177794,-4.240795483,2.22729012129131e-05,0.000106219,No
ENSG00000180098,678.086673,0.293124727,0.069160296,4.238338243,2.25180336713029e-05,0.000107312,No
ENSG00000185101,1583.089145,-0.857146672,0.202236035,-4.238347886,2.25170666995912e-05,0.000107312,No
ENSG00000241852,233.792998,-0.399804166,0.094330193,-4.238347816,2.25170736902613e-05,0.000107312,No
ENSG00000206177,40.80138712,-1.362852595,0.321559382,-4.238261016,2.25257792231798e-05,0.000107323,No
ENSG00000173011,2683.449631,-0.248303006,0.058595423,-4.237583638,2.25938263818322e-05,0.000107622,No
ENSG00000171824,2686.858161,0.168029073,0.039654267,4.237351612,2.26171799583251e-05,0.000107708,No
ENSG00000138069,7873.305351,-0.270657705,0.063881167,-4.236893539,2.26633526550151e-05,0.000107902,No
ENSG00000198839,1010.105277,-0.327422065,0.077287524,-4.236415513,2.27116321842931e-05,0.000108107,No
ENSG00000230426,145.7864739,1.310430588,0.309460509,4.234564829,2.28994718399486e-05,0.000108975,No
ENSG00000280798,695.8661384,-0.360834394,0.085223614,-4.233971989,2.29599555285905e-05,0.000109237,No
ENSG00000127415,4010.056979,-0.403020862,0.0951887,-4.233914994,2.29657783435504e-05,0.000109239,No
ENSG00000156504,3016.514823,0.319015516,0.075350355,4.233762649,2.29813494818228e-05,0.000109287,No
ENSG00000272056,11.67070192,-0.506575128,0.119658209,-4.233517532,2.3006423836583e-05,0.000109355,No
ENSG00000274523,1308.785386,0.21655961,0.051153071,4.233560261,2.30020509201764e-05,0.000109355,No
ENSG00000144566,3023.78275,-0.2214294,0.052305794,-4.233362731,2.30222726862959e-05,0.000109405,No
ENSG00000177042,1120.188836,-0.348635954,0.082365228,-4.232805087,2.30794515755051e-05,0.000109607,No
ENSG00000232346,14.69753596,-0.805278524,0.19024767,-4.232790478,2.30809513900987e-05,0.000109607,No
ENSG00000261386,25.81468977,-0.573192516,0.135417223,-4.23278889,2.30811143938719e-05,0.000109607,No
ENSG00000128708,1497.802322,0.267490766,0.063204845,4.232124392,2.31494308652245e-05,0.000109905,No
ENSG00000115474,37.80761786,-0.762512491,0.180228871,-4.230801022,2.32860591076025e-05,0.000110528,No
ENSG00000105726,9364.389726,0.279804517,0.066137633,4.230640009,2.3302734751323e-05,0.000110581,No
ENSG00000160124,407.7690348,0.29583781,0.069945996,4.229517457,2.34193106133436e-05,0.000111108,No
ENSG00000108861,1364.706961,-0.37237503,0.088072392,-4.228056268,2.35718849197255e-05,0.000111806,No
ENSG00000112893,17172.50205,-0.319270651,0.075513438,-4.227997788,2.35780108997686e-05,0.000111809,No
ENSG00000248996,147.7703616,-0.482474367,0.114142345,-4.226953335,2.36876768979112e-05,0.000112302,No
ENSG00000198242,36846.50145,-0.391641389,0.092670037,-4.226192208,2.37678994806457e-05,0.000112656,No
ENSG00000162433,54.34645586,0.747959835,0.176989884,4.226003317,2.3787848563748e-05,0.000112724,No
ENSG00000234028,638.4401611,-0.410160301,0.09706674,-4.225549341,2.38358588529856e-05,0.000112925,No
ENSG00000184381,1245.904642,0.429591537,0.101694475,4.224335073,2.39647274988056e-05,0.000113509,No
ENSG00000112851,6398.651349,-0.317062703,0.075058397,-4.224213623,2.39776531789664e-05,0.000113544,No
ENSG00000100330,2770.548321,-0.32478844,0.076900199,-4.223505837,2.4053113791435e-05,0.000113874,No
ENSG00000139668,688.1830521,-0.43531889,0.103142921,-4.220540645,2.43717108016995e-05,0.000115356,No
ENSG00000172123,209.4028206,0.480703941,0.113917156,4.219767769,2.44554102141577e-05,0.000115725,No
ENSG00000026652,136.7942878,0.912833314,0.216394923,4.218367521,2.4607748555794e-05,0.000116418,No
ENSG00000235590,10.16707273,0.662395207,0.157046102,4.217839197,2.46654612617369e-05,0.000116664,No
ENSG00000211772,50.86568827,1.250419098,0.296484948,4.217479188,2.47048613684029e-05,0.000116823,No
ENSG00000230946,9.144596076,-0.717708026,0.170182188,-4.217292266,2.47253420843843e-05,0.000116892,No
ENSG00000111196,710.6399187,0.305816135,0.072516354,4.217202286,2.47352068219631e-05,0.000116912,No
ENSG00000284948,25.36671504,1.088988707,0.258229666,4.217132457,2.47428648090893e-05,0.00011692,No
ENSG00000073598,6.194882077,0.580826347,0.13774155,4.216783866,2.47811283631308e-05,0.000117046,No
ENSG00000235330,7.794433122,0.604199968,0.143283104,4.216826343,2.47764627465558e-05,0.000117046,No
ENSG00000160271,4780.757431,-0.382697425,0.090766151,-4.216301121,2.48342102692251e-05,0.00011727,No
ENSG00000148835,323.756472,0.269898634,0.064021173,4.215771446,2.48925770648878e-05,0.000117518,No
ENSG00000119906,1536.733851,0.32147428,0.076289823,4.213855377,2.51048072650152e-05,0.000118492,No
ENSG00000175189,37.0544037,0.907945786,0.215472644,4.213740415,2.51175953668793e-05,0.000118525,No
ENSG00000229605,11.32853505,-0.698871733,0.165881823,-4.213070007,2.5192293831461e-05,0.000118849,No
ENSG00000221817,685.3644723,-0.355847949,0.084467826,-4.212822392,2.5219937103634e-05,0.000118952,No
ENSG00000180245,22.00364613,0.496558429,0.117875298,4.212574104,2.52476844208414e-05,0.000119055,No
ENSG00000162396,111.1970505,0.533740387,0.126728116,4.211696681,2.53459733447255e-05,0.000119491,No
ENSG00000114019,32.05445085,-1.300793195,0.308893546,-4.211137503,2.5408802175594e-05,0.000119759,No
ENSG00000139675,381.5968812,-0.338938986,0.080489802,-4.21095565,2.54292670533735e-05,0.000119827,No
ENSG00000167723,1379.350995,-0.94639449,0.224753708,-4.21080702,2.54460047262043e-05,0.000119878,No
ENSG00000269220,544.5471809,-0.433490539,0.102953315,-4.210554448,2.54744716177476e-05,0.000119984,No
ENSG00000115239,1888.92906,-0.272813858,0.06480329,-4.209876644,2.55510155903732e-05,0.000120317,No
ENSG00000138079,21.81315008,-0.479695055,0.113962228,-4.209246027,2.56224271880159e-05,0.000120625,No
ENSG00000146005,88.59867298,-0.690146484,0.163996105,-4.208310219,2.57287487150016e-05,0.000121082,No
ENSG00000164654,3144.169777,-0.271217929,0.064448553,-4.208285774,2.5731531612666e-05,0.000121082,No
ENSG00000138101,802.7665259,-0.363319678,0.08635212,-4.207420471,2.58302263060976e-05,0.000121518,No
ENSG00000087088,1766.872051,0.236904424,0.056307486,4.207334442,2.58400581946345e-05,0.000121536,No
ENSG00000134825,7548.534051,-0.31377758,0.074592798,-4.206539911,2.59310305593148e-05,0.000121936,No
ENSG00000010319,145.732891,1.057150271,0.251318978,4.20640845,2.59461120061665e-05,0.000121978,No
ENSG00000188026,87.25407699,-0.556653291,0.132339502,-4.206251954,2.59640762781491e-05,0.000122034,No
ENSG00000141404,683.6648586,-0.970713177,0.230832641,-4.205268244,2.6077268458633e-05,0.000122533,No
ENSG00000163517,132.1667358,-0.517134751,0.122974341,-4.205224823,2.60822755633864e-05,0.000122533,No
ENSG00000188501,9.292731266,0.52953388,0.125927762,4.205060658,2.61012145461723e-05,0.000122593,No
ENSG00000196782,57.51954758,1.135624757,0.270095885,4.204524471,2.61631632988507e-05,0.000122827,No
ENSG00000270419,72.55061419,-0.534038079,0.127014918,-4.204530378,2.61624800213777e-05,0.000122827,No
ENSG00000196357,167.4566804,-0.284366989,0.067636647,-4.204333058,2.61853120990322e-05,0.000122902,No
ENSG00000286720,174.5108291,-0.85513374,0.203406667,-4.204059546,2.6216991800515e-05,0.000123022,No
ENSG00000232388,1259.274447,-0.292611603,0.069603742,-4.203963649,2.62281077607062e-05,0.000123046,No
ENSG00000131381,1865.011722,-0.202038019,0.048066898,-4.203267228,2.63089684702593e-05,0.000123397,No
ENSG00000259673,1218.453756,-0.361473875,0.086009496,-4.202720506,2.6372613779492e-05,0.000123666,No
ENSG00000130717,1608.547656,-0.252864686,0.060168214,-4.202629074,2.63832718309041e-05,0.000123688,No
ENSG00000177606,167652.9245,-0.574835896,0.136805786,-4.201839049,2.64755349036337e-05,0.000124091,No
ENSG00000095380,4797.916174,-0.294034833,0.069982511,-4.20154732,2.65096819742125e-05,0.000124223,No
ENSG00000206172,2441.383646,-1.18505624,0.282159576,-4.199950463,2.66973384109643e-05,0.000125073,No
ENSG00000171606,2398.654184,-0.356695798,0.084931059,-4.199827519,2.67118385261243e-05,0.000125112,No
ENSG00000164609,3827.709261,-0.235756313,0.056161022,-4.197863674,2.69444742555364e-05,0.000126172,No
ENSG00000132383,2193.782057,0.341142829,0.081267688,4.19776715,2.69559579495659e-05,0.000126197,No
ENSG00000226377,130.9353576,-0.500124979,0.119144573,-4.197631226,2.69721370780788e-05,0.000126214,No
ENSG00000261423,243.6305508,-0.410519818,0.09779769,-4.197643297,2.69706998564269e-05,0.000126214,No
ENSG00000279689,646.8223341,-0.406982747,0.096973304,-4.196853459,2.70648927922214e-05,0.000126619,No
ENSG00000002822,555.522946,0.272306496,0.064888441,4.196533163,2.71031791973309e-05,0.000126768,No
ENSG00000288235,203.0269477,-1.122407906,0.267483869,-4.196170442,2.71465988008686e-05,0.000126942,No
ENSG00000010818,2764.420043,-0.383545054,0.091413544,-4.195713628,2.72013761439534e-05,0.000127139,No
ENSG00000212802,57.91843982,-0.625037725,0.1489695,-4.195742916,2.71978609741889e-05,0.000127139,No
ENSG00000185238,693.5815731,0.354957488,0.084616564,4.194893664,2.72999630442699e-05,0.000127505,No
ENSG00000196205,880.7545137,-0.447587454,0.106698503,-4.194880352,2.73015664199228e-05,0.000127505,No
ENSG00000218052,128.8195445,-0.57480352,0.137025894,-4.194853264,2.7304829189093e-05,0.000127505,No
ENSG00000277726,33.8670538,-0.577207055,0.137594274,-4.194993279,2.72879679574271e-05,0.000127505,No
ENSG00000156966,40.67907297,-0.85410611,0.203658616,-4.193812788,2.7430439427015e-05,0.000128049,No
ENSG00000167261,226.936103,-0.825027181,0.196726225,-4.193783432,2.74339913246522e-05,0.000128049,No
ENSG00000143390,4944.407405,0.258183159,0.061568703,4.193415586,2.74785359276041e-05,0.000128227,No
ENSG00000087087,5483.299298,0.183407217,0.043746063,4.192542267,2.75845666754594e-05,0.000128692,No
ENSG00000163219,2634.377702,-0.330665126,0.078885204,-4.191725563,2.76840756432361e-05,0.000129126,No
ENSG00000280152,8.560305408,-0.827249582,0.197356426,-4.191652625,2.76929791921071e-05,0.000129138,No
ENSG00000261790,145.5437871,-0.460132178,0.109777106,-4.191513088,2.77100199966431e-05,0.000129188,No
ENSG00000075213,342.3301062,1.189603329,0.283845204,4.191028456,2.77692825055815e-05,0.000129434,No
ENSG00000277728,44.41670871,-0.5108598,0.121914547,-4.190310458,2.78573035730446e-05,0.000129814,No
ENSG00000185798,456.1431356,0.223486915,0.05334054,4.189813536,2.79183777218879e-05,0.000130069,No
ENSG00000198270,398.1672921,0.289535994,0.069116674,4.189090371,2.80074855023903e-05,0.000130454,No
ENSG00000249492,42.266059,0.374911646,0.089527656,4.187662934,2.81841675748687e-05,0.000131247,No
ENSG00000163221,538.9072864,-1.398185364,0.333898574,-4.187455337,2.82099511496425e-05,0.000131336,No
ENSG00000141295,2228.560787,-0.23921969,0.057132143,-4.187129688,2.82504419806452e-05,0.000131471,No
ENSG00000144401,754.0244637,0.250406194,0.059803939,4.187118787,2.82517983671181e-05,0.000131471,No
ENSG00000146576,1730.779126,-0.236355538,0.05645121,-4.186899444,2.82791035874044e-05,0.000131567,No
ENSG00000105640,71273.68387,-0.449958796,0.107487382,-4.186154575,2.83720169696301e-05,0.000131969,No
ENSG00000213714,43.49832671,-0.407464365,0.097339095,-4.186029954,2.83875903268813e-05,0.000132011,No
ENSG00000213337,741.1758227,0.261911497,0.062580277,4.185208307,2.84904711438522e-05,0.000132459,No
ENSG00000103978,4053.592555,-0.252120967,0.060251592,-4.184469832,2.85832401832319e-05,0.00013286,No
ENSG00000053254,7159.305351,-0.339772019,0.081206184,-4.184065821,2.86341143464731e-05,0.000133045,No
ENSG00000139990,3524.553129,-0.238101944,0.056907058,-4.184049452,2.86361774599753e-05,0.000133045,No
ENSG00000146243,303.6666359,0.467485776,0.111743512,4.183560812,2.86978276996305e-05,0.0001333,No
ENSG00000164342,111.1294082,-0.858899188,0.205322055,-4.183180369,2.87459143593433e-05,0.000133493,No
ENSG00000275963,17.74264809,-0.429951716,0.10279374,-4.182664387,2.88112552291197e-05,0.000133766,No
ENSG00000132334,926.3804538,-0.661944181,0.158266855,-4.182456153,2.88376645818777e-05,0.000133857,No
ENSG00000243738,9.327635987,-0.49124965,0.117501011,-4.180812101,2.90469822429525e-05,0.000134798,No
ENSG00000114738,1850.41007,-0.26069096,0.062357346,-4.180597444,2.90744183171751e-05,0.000134894,No
ENSG00000158158,1337.794213,-0.293080939,0.070108687,-4.180379776,2.91022643887669e-05,0.000134962,No
ENSG00000228451,136.7579648,-0.425373163,0.101754116,-4.180402527,2.90993527147064e-05,0.000134962,No
ENSG00000051523,38227.22438,-0.425711726,0.101855257,-4.179575394,2.9205388411993e-05,0.000135409,No
ENSG00000135272,5512.1606,-0.289795128,0.069347072,-4.178909353,2.92910395243483e-05,0.000135775,No
ENSG00000171295,455.1265579,-0.350559741,0.083891132,-4.178746115,2.93120679299894e-05,0.000135841,No
ENSG00000228043,20.85240093,0.384035821,0.091928368,4.177555076,2.94659329080231e-05,0.000136523,No
ENSG00000272540,61.1374844,0.573985293,0.137422541,4.176791451,2.95649856862559e-05,0.00013695,No
ENSG00000279159,423.3303397,-0.472266199,0.113090559,-4.176000234,2.966795135348e-05,0.000137395,No
ENSG00000164674,435.1869316,-0.540810576,0.129534565,-4.175029073,2.97948000099556e-05,0.000137951,No
