"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significant"
"ENSG00000001617",18.108141255519,-1.13021092789319,0.261046606884649,-4.32953694124286,1.49423204525678e-05,7.12810576855632e-05,"No"
"ENSG00000003137",10.2944554806315,-0.866380555361119,0.218726851561361,-3.96101598489872,7.46315358797314e-05,0.000298523192920707,"No"
"ENSG00000003249",71.9539197242136,-0.683205540154984,0.191487680784687,-3.56788247345894,0.000359877846318559,0.00119416167147688,"No"
"ENSG00000004799",926.88808735156,-1.48324433067601,0.2480017571209,-5.98078153919262,2.2206953945719e-09,2.55760661014838e-08,"No"
"ENSG00000004838",70.8430451864186,-0.61098591258536,0.156904820313678,-3.89399070955182,9.86084277834039e-05,0.000381542112108755,"No"
"ENSG00000004939",267.09066339609,-1.20753663323157,0.287353498400786,-4.20226877331194,2.6425311581831e-05,0.000118672494414395,"No"
"ENSG00000005243",493.006092321826,-0.638165240996437,0.176612489733825,-3.6133641621735,0.000302249732671312,0.00102435570236931,"No"
"ENSG00000005381",333.79197663453,-1.50016845543868,0.31601011534743,-4.74721656865115,2.06235093231916e-06,1.22435001593203e-05,"No"
"ENSG00000005471",124.268512286763,-0.762325128187299,0.25965478424326,-2.93591789733059,0.00332562329964004,0.00846524287933344,"No"
"ENSG00000005486",2823.76403998677,-0.519447454409067,0.0820001248494665,-6.33471540881984,2.37779755099215e-10,3.36076505191071e-09,"No"
"ENSG00000005812",1847.07684235653,-0.54255340269443,0.0823183551989947,-6.59091646550605,4.37119794420244e-11,7.09856190711667e-10,"No"
"ENSG00000005961",77.7645179819499,-0.997765916129138,0.224504956308871,-4.44429349148277,8.81811610152797e-06,4.43546618483395e-05,"No"
"ENSG00000006327",119.966811591491,-1.34839342541157,0.229177947378322,-5.88360896341247,4.01415607983232e-09,4.38987063423876e-08,"No"
"ENSG00000006432",1001.91156200133,-0.552967119594703,0.114424235880508,-4.83260487028429,1.34758083748898e-06,8.34423710586494e-06,"No"
"ENSG00000006652",6909.87335150885,-0.552221545946349,0.135517638537964,-4.07490531789079,4.60330722420032e-05,0.000194922300095769,"No"
"ENSG00000007384",97.3047837376962,-0.715222271555816,0.175513325362239,-4.07503116973985,4.60081842296321e-05,0.000194922300095769,"No"
"ENSG00000007402",159.97507287377,-0.902604532271536,0.127955952223744,-7.05402536251881,1.73814676286271e-12,3.57108542359816e-11,"No"
"ENSG00000007516",204.100500646765,-0.902209626945834,0.210205983475819,-4.29202638301501,1.7704990555986e-05,8.29098709702366e-05,"No"
"ENSG00000008952",17422.3715703614,-0.502904206751824,0.0716031121234817,-7.02349649110993,2.16383586260128e-12,4.38753639946969e-11,"No"
"ENSG00000010030",125.085455972044,-2.63844531057062,0.317618648501637,-8.30695969212596,9.81852812106391e-17,3.85004735953391e-15,"No"
"ENSG00000010310",722.976092179164,-1.30727531053939,0.202059618132701,-6.46975047572764,9.81648836250869e-11,1.49209142493486e-09,"No"
"ENSG00000011028",76.4545507276925,-1.18092420096515,0.256887576645064,-4.59704675635914,4.28521482613276e-06,2.34314988661709e-05,"No"
"ENSG00000011465",52.162597443445,-1.80040540443952,0.336104889305514,-5.3566772210891,8.47663543549894e-08,7.00765328968339e-07,"No"
"ENSG00000011566",2753.89152593888,-0.673107772880052,0.101875035940364,-6.6071905316831,3.91681814475887e-11,6.38701211226658e-10,"No"
"ENSG00000011600",464.071107160857,-0.755150741458848,0.255505854565293,-2.9555124783486,0.00312150069728476,0.00801961077804643,"No"
"ENSG00000012061",3268.19783990149,-0.507080158405356,0.0640187227498256,-7.92081029774587,2.35967718533339e-15,7.64618869298947e-14,"No"
"ENSG00000012124",43.7778057075309,-1.26078828714519,0.267093931580701,-4.72039285836135,2.35389571039713e-06,1.37595034927651e-05,"No"
"ENSG00000012223",1359.64053459326,-1.1656593244082,0.326048160096918,-3.57511394654615,0.000350075394199578,0.00116566488850033,"No"
"ENSG00000012779",6246.25921018324,-0.917194862250048,0.17255166016207,-5.31547978958053,1.0637665691663e-07,8.52493646184765e-07,"No"
"ENSG00000012822",8938.34429333588,-0.592228659849438,0.0857785756392918,-6.90415590881135,5.0502810608797e-12,9.64547595764376e-11,"No"
"ENSG00000013441",14992.033384201,-0.535226393848419,0.111466363800811,-4.8016852402655,1.57335868454524e-06,9.56881239801129e-06,"No"
"ENSG00000015413",5566.38328530416,-0.879033051322899,0.289560233438956,-3.03575197769073,0.00239936644753992,0.0063848997557654,"No"
"ENSG00000015568",2041.20731163088,-1.39998574248946,0.172930058744714,-8.09567609386041,5.69471676109739e-16,2.03505348084961e-14,"No"
