"","Up-regulated","Down-regulated"
"P0002-01-FAKE03-U133Plus-2.CEL",0.251491410232207,-0.207512932957669
"P0008-01-FAKE04-U133Plus-2.CEL",-0.213542058586402,0.20340919725351
"P0009-01-FAKE05-U133Plus-2.CEL",-0.269570712526466,0.365561180687608
"P0010-01-FAKE06-U133Plus-2.CEL",0.316893936696692,-0.240757239400599
"P0015-01-A016-U133Plus-2.CEL",0.20392617858448,-0.248482744865422
"P0016-01-A21-U133Plus-2.CEL",0.296303119392157,-0.288661952631487
"P0018-01-A30-U133Plus-2.CEL",-0.22020793056641,0.269000772206438
"P0019-01-A40-U133Plus-2.CEL",0.145579246624023,-0.204769307324912
"P0025-01-A53-U133Plus-2.CEL",0.242811843763125,-0.187354281593027
"P0029-01-A70-U133Plus-2.CEL",0.296030573622901,-0.225258949475566
"P0030-01-A72-U133Plus-2.CEL",-0.224699655532763,0.266850491603465
"P0034-01-A113-U133Plus-2.CEL",-0.324069408036308,0.308561708999578
"P0036-01-A120-U133Plus-2.CEL",-0.305758628545393,0.269140254553561
"P0037-01-A111-U133Plus-2.CEL",-0.157460560107619,0.226096255302973
"P0043-01-A153-U133Plus-2.CEL",-0.233649666036061,0.259646212847555
"P0048-01-A172-U133Plus-2.CEL",0.298414996427631,-0.252167103686854
"P0051-01-A185-U133Plus-2.CEL",0.194475949178434,-0.150487326899743
"P0052-01-A180-U133Plus-2.CEL",-0.275527123848516,0.288959514429273
"P0053-01-A209-U133Plus-2.CEL",0.153287580651625,-0.189704106528222
"P0054-01-A194-U133Plus-2.CEL",0.256901296639322,-0.221801871588575
"P0055-01-A204-U133Plus-2.CEL",-0.261744412050535,0.277310223718735
"P0056-01-A211-U133Plus-2.CEL",-0.176718841713951,0.16407066176479
"P0057-01-A217-U133Plus-2.CEL",0.318613886753779,-0.26339683656379
"P0061-01-A246-U133Plus-2.CEL",0.173070720808238,-0.181895302318782
"P0063-01-A248-U133Plus-2.CEL",-0.171588290071005,0.193625154564171
"P0065-01-A261-U133Plus-2.CEL",0.29955949137148,-0.237955417066155
"P0066-01-A264-U133Plus-2.CEL",0.330972649325278,-0.273412446980673
"P0067-01-A274-U133Plus-2.CEL",-0.196419045176419,-0.113082894932335
"P0069-01-A296-U133Plus-2.CEL",-0.361980030965898,0.374915618760675
"P0075-01-A332-U133Plus-2.CEL",0.11069142952377,-0.192344628144267
"P0077-01-A357-U133Plus-2.CEL",0.215403473472413,-0.114479270291855
"P0079-01-A351-U133Plus-2.CEL",0.239340742135995,-0.191412888812833
"P0083-01-A389-U133Plus-2.CEL",0.259396407604681,-0.247142977057587
"P0084-01-A629-U133Plus-2.CEL",0.368013405324893,-0.321230218728944
"P0085-01-A396-U133Plus-2.CEL",-0.44704163744417,0.380150227584469
"P0090-01-A427-U133Plus-2.CEL",-0.223547810040297,0.242246356479242
"P0091-01-A326-U133Plus-2.CEL",-0.215602892319719,0.203825898636358
"P0092-01-A353-U133Plus-2.CEL",-0.174300242690397,0.158151437146658
"P0095-01-A355-U133Plus-2.CEL",0.193634117414509,-0.226426471369918
"P0096-01-A303-U133Plus-2.CEL",0.232159227985525,-0.252212065437099
"P0098-01-A308-U133Plus-2.CEL",-0.16033309667495,0.163770623405125
"P0099-01-A425-U133Plus-2.CEL",0.336339408467585,-0.216857078377066
"P1003-02-D033-U133Plus-2.CEL",0.295830795327499,-0.277258645916237
"P0101-01-A383-U133Plus-2.CEL",-0.182824950524626,0.178699143174111
"P1010-01-D039-U133Plus-2.CEL",0.463674050515883,-0.41758861002866
"P1011-01-D025-U133Plus-2.CEL",0.346701829199865,-0.251171078869667
"P1013-01-D098-U133Plus-2.CEL",-0.187495829590659,0.28559746067542
"P1016-04-E483-U133Plus-2.CEL",0.229073893656087,-0.194745822091745
"P1017-01-D092-U133Plus-2.CEL",-0.402517754059554,0.410870871987457
"P0102-01-A388-U133Plus-2.CEL",0.315398053453979,-0.296166205828711
"P1023-01-D006-U133Plus-2.CEL",-0.185238277805468,0.161079415453166
"P1027-02-D051-U133Plus-2.CEL",0.185903214602709,-0.18762482707398
"P0103-01-A401-U133Plus-2.CEL",-0.178893323801581,0.188936827229211
