streed_initial_loss,streed_initial_loss01,streed_super_loss,streed_super_loss01,num_leaves,num_leaves01
0.674457594,0.69122288,0.674457594,0.69122288,8,3
0.711930836,0.714121037,0.711930836,0.714121037,7,3
0.582593532,0.627615726,0.582593532,0.627615726,7,5
0.635852353,0.684667468,0.635852353,0.684667468,7,4
0.6850953,0.641943885,0.6850953,0.641943885,6,4
0.639857881,0.688038329,0.682816537,0.688038329,7,3
0.671174509,0.63758182,0.671174509,0.63758182,6,4
0.683223544,0.677645559,0.683223544,0.677645559,7,3
0.667917034,0.630350838,0.667917034,0.630350838,6,4
0.616951018,0.64843148,0.616951018,0.64843148,7,4
0.72439957,0.732345561,0.72439957,0.732345561,8,4
0.664814605,0.625807915,0.664814605,0.625807915,7,4
0.659182441,0.634816754,0.659182441,0.634816754,7,4
0.731942978,0.716789863,0.731942978,0.716789863,6,4
0.671765141,0.669606513,0.671765141,0.669606513,7,4
0.663130548,0.680558562,0.658259363,0.680558562,8,4
0.665388998,0.66771988,0.665388998,0.66771988,7,4
0.678898515,0.658477723,0.681992574,0.658477723,7,4
0.676991583,0.723722842,0.734732824,0.723722842,7,4
0.700325354,0.70230072,0.700325354,0.70230072,8,4
0.695627158,0.664975416,0.695627158,0.664975416,5,3
0.642131419,0.700386527,0.662341248,0.700386527,7,4
0.645568909,0.653936875,0.645568909,0.653936875,6,3
0.686520057,0.700061087,0.692628793,0.700061087,7,4
0.661966624,0.661068864,0.661966624,0.661068864,7,3
0.709034444,0.706324111,0.709034444,0.706324111,8,4
0.709818333,0.724240743,0.709818333,0.724240743,6,4
0.667443274,0.679598865,0.667443274,0.679598865,7,3
0.658588533,0.674591296,0.658588533,0.674591296,7,4
0.62396204,0.659710989,0.651137712,0.659710989,6,3
0.641701489,0.665380906,0.641701489,0.665380906,7,4
0.65392344,0.62629358,0.65392344,0.62629358,7,3
0.668079096,0.714537934,0.668079096,0.714537934,7,4
0.724835581,0.665143239,0.724835581,0.665143239,8,4
0.70306763,0.688499349,0.70306763,0.688499349,8,4
0.708923706,0.68780654,0.708923706,0.68780654,7,4
0.632340321,0.626639696,0.632340321,0.637427976,7,4
0.632881831,0.645375993,0.632881831,0.645375993,7,4
0.694104179,0.695878649,0.694104179,0.695878649,7,3
0.680501128,0.697126232,0.680501128,0.697126232,8,4
0.700579073,0.642372204,0.700579073,0.642372204,8,4
0.640569214,0.64628175,0.640569214,0.64628175,8,3
0.70939184,0.689816342,0.70939184,0.689816342,7,3
0.700960057,0.712219983,0.700960057,0.712219983,8,4
0.700308846,0.699371277,0.700308846,0.699371277,7,4
0.675347582,0.65713841,0.675347582,0.65713841,7,3
0.671323895,0.703365623,0.671323895,0.703365623,7,3
0.700751445,0.687919075,0.699479769,0.687919075,8,3
0.640816327,0.696882086,0.640816327,0.696882086,8,4
0.723914161,0.705024415,0.723914161,0.705795425,6,5
0.721969865,0.710447596,0.721969865,0.710447596,7,4
0.660615474,0.686292593,0.660615474,0.686292593,7,4
0.601915709,0.661357417,0.60290093,0.661357417,7,4
0.659685022,0.639918577,0.659685022,0.639918577,7,4
0.653424374,0.705669357,0.652493275,0.705669357,8,3
0.626642841,0.626873415,0.633560065,0.626873415,8,4
0.662320465,0.678975247,0.662320465,0.678975247,7,4
0.67106073,0.703785392,0.67106073,0.703785392,7,3
0.653297593,0.644244386,0.653297593,0.644244386,7,3
0.652710421,0.644358228,0.652710421,0.644358228,8,4
0.628717419,0.701171202,0.628717419,0.701171202,7,4
0.674721395,0.675659274,0.674721395,0.675659274,6,5
0.697366817,0.677496038,0.697366817,0.677496038,7,4
0.704646439,0.675447505,0.704646439,0.675447505,7,3
0.624479854,0.737491119,0.624479854,0.737491119,6,3
0.672211055,0.705879397,0.680854271,0.705879397,7,3
0.677720662,0.666311434,0.702795888,0.666311434,7,3
0.640915293,0.641597565,0.640915293,0.641597565,7,3
0.705960411,0.691031737,0.704633418,0.691031737,6,3
0.662250918,0.680952911,0.69531337,0.680952911,8,3
0.674603175,0.673170194,0.674603175,0.673170194,7,4
0.675767173,0.702304248,0.675767173,0.702304248,8,3
0.746212559,0.704753094,0.726089973,0.704753094,8,4
0.671526409,0.661876103,0.671526409,0.661876103,5,4
0.632310947,0.676361713,0.643521946,0.676361713,7,3
0.671981635,0.642697605,0.671981635,0.642697605,7,4
0.660524207,0.700927092,0.660524207,0.700927092,8,4
0.732473994,0.709803256,0.716983265,0.709803256,8,4
0.675714644,0.688189569,0.675714644,0.688189569,8,4
0.683853172,0.657171653,0.683853172,0.657171653,6,3
0.724430191,0.710227923,0.731989463,0.710227923,8,4
